timeStamp,hash,from,to,value,move_balance,staking,stake_balance
1653929927,0x1d00f31e32fdec1c56bb80a8e4f8979aa3da6ce7dcf9a28eb5fc103695469a98,0x19c20d36c02a1a27125d638f3c16d04aaff2ceae,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,42557.06,-42557.06,1,-42557.06
1653930259,0x45c4ea5fbeebd22ac4027744f69de6e4d9dedd6bd02e0f5976a2e3b1c65e0581,0xd9468f7bab04d6b306e9229aae69462a3be2ea5b,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,13410.0,-13410.0,1,-13410.0
1653930289,0x58e93cca984f193b020793cd223c91666587743ba7547b3f34bfc58e719fa13d,0xb956cafc8247f5ce2b6642a4355eda020715ce84,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,34500.0,-34500.0,1,-34500.0
1653930443,0x534bc817d17a43a1fdeffd4a89da1a950772f63daa0f6754e14a08e3d962af86,0xd9468f7bab04d6b306e9229aae69462a3be2ea5b,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,216000.0,-216000.0,1,-216000.0
1653930491,0x21c74737696a6b872e1fb58571a5ee064c34a791e82243e1cd057f4b3e26300f,0xd1131556881f6b04a20d11e33048c89554c422c8,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,61578.59,-61578.59,1,-61578.59
1653930536,0x626fcea4b3d85e192fbc1371215345d17d8bfea1abfd604180baa15747c74381,0xabaa456baed43bfdccd8bcc589bd9af825a29716,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,50000.0,-50000.0,1,-50000.0
1653930917,0xdf5f68338e06ac738f4e8e2de0a6c13a0887ebbcb9955c8ec85ab1961314e50d,0xfafee1cdd10ba9a416eaf7451f101b96af496383,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,17439.59,-17439.59,1,-17439.59
1653931106,0xbae040610fe690145939ee41c58cc0b91647e53e910acbee309f6f8005b00c87,0x80ef6216102c5041fa684867545b4bfdee232586,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,11152.56,-11152.56,1,-11152.56
1653931154,0x6f1d76ec4d3ef493679cc2d4b3bd2c7bf32c057e354daa6a2b0233cfd7e0c3d0,0xafd2a9185b77707d39e97bc00377b7b08c78afa7,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,80961.81,-80961.81,1,-80961.81
1653931659,0x0e878c741a892df7263a248935a66dd4e883d6102352c2504741c88e05a5c320,0x91554934010726db35d4218da25892c6f1a4a2f0,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,10000.0,-10000.0,1,-10000.0
1653931668,0x3619e48661832c2162bb7f0112d020601da9133f044c9b3b5b13f0f4d1020456,0x1111320dfa8375a0e3d2f08db7b5d43ce92ae02d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,100.0,-100.0,1,-100.0
1653932005,0x9bc8256b46b820cac311d1b633f6b7c679f82e47204971d4479f2f42acbb6588,0x8ab4479698d188a8078ae8b94bfc39c9a0c4a369,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,19627.35,-19627.35,1,-19627.35
